Name,Business_Type,Address,City,Country,Phone,Website,Email,Email_Status,Email_Source,Email_Confidence,Google_Rating,Review_Count,Source,Zone
Texas Live!,sports_bar,"1650 E Randol Mill Rd, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-852-6688,https://texas-live.com/,info@texas-live.com,accept_all,scraped_website,81,4.6,12301,seeded_real,texas_live_zone
The Tipsy Oak,sports_bar,"301 E Front St, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-962-0304,https://www.thetipsyoak.com/,info@thetipsyoak.com,accept_all,scraped_website,78,4.4,2640,seeded_real,texas_live_zone
PBR Texas,sports_bar,"1650 E Randol Mill Rd #150, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1749,http://texas-live.com/eat-and-drink/pbr-texas,events@texas-live.com,accept_all,hunter_search,79,4.3,372,seeded_real,texas_live_zone
Troy's,sports_bar,"1650 E Randol Mill Rd #100, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1551,https://texas-live.com/eat-and-drink/troys,events@texas-live.com,accept_all,hunter_search,79,4.2,491,seeded_real,texas_live_zone
Miller Tavern & Beer Garden,sports_bar,"1650 E Randol Mill Rd #110, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1552,https://texas-live.com/eat-and-drink/miller-tavern-and-beer-garden,events@texas-live.com,accept_all,hunter_search,79,4.2,159,seeded_real,texas_live_zone
Happiest Hour,sports_bar,"2616 Olive St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 972-528-0067,https://www.happiesthourdallas.com/,hello@happiesthourdallas.com,valid,hunter_search,99,4.5,5103,seeded_real,downtown_zone
The Statler Dallas,hotel,"1914 Commerce St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-459-3930,https://www.hilton.com/en/hotels/dfwstqq-the-statler-dallas/?SEO_id=GMB-AMER-QQ-DFWSTQQ&y_source=1_ODMxODAxNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,williams.sharona@hilton.com,valid,hunter_search,99,4.4,3013,seeded_real,downtown_zone
The Joule,hotel_bar,"1530 Main St STE 100, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-748-1300,https://www.thejouledallas.com/,info@thejouledallas.com,valid,scraped_website,100,4.5,1802,seeded_real,downtown_zone
The Rustic,sports_bar,"3656 Howell St, Dallas, TX 75204, USA",Dallas-Arlington,USA,+1 214-730-0596,https://therustic.com/,events@therustic.com,valid,hunter_search,95,4.5,6132,seeded_real,uptown_zone
Katy Trail Ice House,sports_bar,"3127 Routh St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-468-0600,http://katyicehouse.com/,r.menke@katyicehouse.com,valid,hunter_search,98,4.6,3796,seeded_real,uptown_zone
STIRR Dallas,cocktail_bar,"2803 Main St #110, Dallas, TX 75226, USA",Dallas-Arlington,USA,+1 214-983-1222,https://www.stirrrestaurants.com/,infostirraddison@stirrrestaurants.com,valid,hunter_search,75,4.4,3565,seeded_real,deep_ellum_zone
Lazy Dog Restaurant & Bar,sports_bar,"241 E Interstate 20, Arlington, TX 76018, USA",Dallas-Arlington,USA,+1 682-276-7300,https://lazydogrestaurants.com/pages/arlington-tx,sswiger@lazydogrestaurants.com,valid,hunter_search,99,4.5,3982,seeded_real,local_zone
BoomerJack's Grill & Bar,sports_bar,"522 Lincoln Square, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-275-5400,https://boomerjacks.com/locations/north-arlington/,info@boomerjacks.com,accept_all,hunter_search,77,4.3,4299,seeded_real,local_zone
The Las Colinas Resort,hotel,"4150 N MacArthur Blvd, Irving, TX 75038, USA",Dallas-Arlington,USA,+1 972-717-0700,https://www.ritzcarlton.com/en/hotels/dalil-the-ritz-carlton-dallas-las-colinas/overview/?cid=NAT_google_hotel_url,manuel.terra@ritzcarlton.com,valid,hunter_search,98,4.6,2718,seeded_real,las_colinas_zone
Sports & Social Arlington,sports_bar,"1650 E Randol Mill Rd Ste 120, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1746,https://texas-live.com/eat-and-drink/sports-and-social-arlington,events@texas-live.com,accept_all,hunter_search,79,4.6,796,google_places_enriched,texas_live_zone
BoomerJack's Grill,sports_bar,"522 Lincoln Square, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-275-5400,https://boomerjacks.com/locations/north-arlington/,info@boomerjacks.com,accept_all,hunter_search,77,4.4,4299,google_places_enriched,texas_live_zone
Live! Arena,sports_bar,"1650 E Randol Mill Rd STE 160, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1550,https://texas-live.com/eat-and-drink/live-arena,events@texas-live.com,accept_all,hunter_search,79,4.3,148,google_places_enriched,texas_live_zone
BFF ASIAN GRILL & SPORTS BAR,sports_bar,"2150 E Lamar Blvd Suite 100, Arlington, TX 76006, USA",Dallas-Arlington,USA,+1 817-385-0760,https://bffasiangrill.com/,info@bffasiangrill.com,valid,hunter_search,53,4.4,2359,google_places_enriched,texas_live_zone
The Chuggin' Monk,sports_bar,"2301 N Collins St Ste. 170, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-274-2000,https://www.dallasobserver.com/location/the-chuggin-monk-7656883,amber.friend@dallasobserver.com,valid,hunter_search,99,4.3,578,google_places_enriched,texas_live_zone
Boston's Pizza Restaurant & Sports Bar,sports_bar,"2501 E Lamar Blvd, Arlington, TX 76006, USA",Dallas-Arlington,USA,+1 817-633-7773,http://www.bostons.com/,contact@bostons.com,accept_all,scraped_website,78,4.1,1950,google_places_enriched,texas_live_zone
"CLICKS Billiards - Billiards, Games, Sports, Bar & Grill",sports_bar,"700 N Watson Rd, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-640-7675,https://www.clicks.com/,jim@clicks.com,valid,hunter_search,60,4.1,765,google_places_enriched,texas_live_zone
Cooper's Bar & Grill,sports_bar,"3610 S Cooper St #120, Arlington, TX 76015, USA",Dallas-Arlington,USA,+1 469-661-1811,https://www.coopersarlington.com/,info@coopersarlington.com,accept_all,scraped_website,78,4.5,283,google_places_enriched,texas_live_zone
Rodeo Goat - Arlington,sports_bar,"333 E Division St, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-898-4628,https://www.rodeogoat.com/arlington/,info@rodeogoat.com,valid,hunter_search,99,4.5,542,google_places_enriched,texas_live_zone
The Standard Pour,sports_bar,"2900 McKinney Ave, Dallas, TX 75204, USA",Dallas-Arlington,USA,+1 214-935-1370,https://www.tspdallas.com/,info@tspdallas.com,valid,scraped_website,100,4.5,1392,google_places_enriched,uptown_zone
Bar Colette,cocktail_bar,"3699 McKinney Ave #306, Dallas, TX 75204, USA",Dallas-Arlington,USA,+1 214-377-4809,https://www.barcolette.com/,info@barcolette.com,accept_all,scraped_website,80,4.3,169,google_places_enriched,uptown_zone
Beau Nash,sports_bar,"400 Crescent Ct, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-871-3200,https://www.crescentcourt.com/dining/beau-nash/,amy.fisher@crescentcourt.com,valid,hunter_search,99,4.4,23,google_places_enriched,uptown_zone
The Mansion Bar,cocktail_bar,"2821 Turtle Creek Blvd, Dallas, TX 75219, USA",Dallas-Arlington,USA,+1 214-443-4747,https://www.rosewoodhotels.com/en/mansion-on-turtle-creek-dallas/dining/mansion-bar,mansion.restaurant@rosewoodhotels.com,valid,scraped_website,100,4.1,59,google_places_enriched,uptown_zone
Babou's,cocktail_bar,"2598 N Harwood St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 469-753-3509,https://babousdallas.com/,vipreservations@babousdallas.com,accept_all,hunter_search,60,3.8,136,google_places_enriched,uptown_zone
Apothecary,sports_bar,"1922 Greenville Ave, Dallas, TX 75206, USA",Dallas-Arlington,USA,+1 972-850-9192,https://www.apothecary.bar/,info@apothecary.bar,valid,scraped_website,100,4.4,364,google_places_enriched,uptown_zone
Atlas Bishop Arts,sports_bar,"408 N Bishop Ave #101, Dallas, TX 75208, USA",Dallas-Arlington,USA,+1 972-970-9663,https://atlascocktailbar.com/bishop-arts,b.williams@atlascocktailbar.com,valid,scraped_website,100,4.6,453,google_places_enriched,uptown_zone
Harwood Arms,cocktail_bar,"2823 McKinnon St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-273-5151,https://harwoodarmsdallas.com/,hello@harwoodarmsdallas.com,accept_all,hunter_search,60,4.4,647,google_places_enriched,uptown_zone
Moxies,sports_bar,"100 Crescent Ct, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 469-936-4329,https://moxies.com/restaurants/dallas-crescent-court?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,info@moxies.com,valid,hunter_search,95,4.4,3014,google_places_enriched,uptown_zone
