Name,Business_Type,Address,City,Country,Phone,Website,Email,Email_Status,Email_Source,Email_Confidence,Google_Rating,Review_Count,Source,Zone
Houston Tap Hall,sports_bar,"210 Glen Park St, Houston, TX 77009, USA",Houston,USA,+1 713-497-5608,https://htownbrewing.com/,info@htownbrewing.com,valid,hunter_search,77,4.5,108,seeded_real,texas_live_zone
Kirby Ice House NRG,sports_bar,"3333 Eastside St, Houston, TX 77098, USA",Houston,USA,+1 713-524-2752,https://www.kirbyicehouse.com/,russ@kirbyicehouse.com,valid,hunter_search,94,4.5,2767,seeded_real,texas_live_zone
POST Market Houston,sports_bar,"401 Franklin St Suite 1200, Houston, TX 77201, USA",Houston,USA,+1 713-999-2550,https://posthtx.com/eat,hello@posthtx.com,valid,hunter_search,99,4.5,2016,seeded_real,downtown_zone
Hotel ICON,hotel_bar,"220 Main St, Houston, TX 77002, USA",Houston,USA,+1 713-224-4266,https://www.marriott.com/en-us/hotels/houak-hotel-icon-autograph-collection/overview/?cid=NAT_google_hotel_url,rosa.azuara@marriott.com,accept_all,hunter_search,94,4.6,1528,seeded_real,downtown_zone
Little Woodrow's Midtown,sports_bar,"2306 Brazos St, Houston, TX 77006, USA",Houston,USA,+1 713-522-1041,https://littlewoodrows.com/locations/midtown/,brandon@littlewoodrows.com,valid,hunter_search,99,4.4,2536,seeded_real,uptown_zone
True Anomaly Brewing,sports_bar,"2012 Dallas St, Houston, TX 77003, USA",Houston,USA,+1 713-364-6258,http://trueanomalybrewing.com/,founders@trueanomalybrewing.com,valid,hunter_search,88,4.6,416,seeded_real,deep_ellum_zone
Avalon Diner,restaurant,"2417 Westheimer Rd, Houston, TX 77098, USA",Houston,USA,+1 713-527-8900,http://avalondiner.com/,coyramsey@avalondiner.com,valid,hunter_search,94,4.3,1093,seeded_real,local_zone
Social Beer Garden HTX,sports_bar,"3101 San Jacinto St, Houston, TX 77004, USA",Houston,USA,+1 713-636-9357,https://www.socialbeergardenhtx.com/,hbic@socialbeergardenhtx.com,valid,hunter_search,99,4.7,2350,google_places_enriched,texas_live_zone
Little Woodrow's Rice Village,sports_bar,"5611 Morningside Dr, Houston, TX 77005, USA",Houston,USA,+1 713-522-4438,https://littlewoodrows.com/locations/rice-village/,brandon@littlewoodrows.com,valid,hunter_search,99,4.3,635,google_places_enriched,texas_live_zone
Tom's Watch Bar,sports_bar,"1201 Caroline St Suite #161 [level G], Houston, TX 77002, USA",Houston,USA,+1 281-619-1779,https://tomswatchbar.com/houston/,dgleason@tomswatchbar.com,valid,scraped_website,100,4.8,2107,google_places_enriched,texas_live_zone
The Locker Room,sports_bar,"4702 Ennis St, Houston, TX 77004, USA",Houston,USA,+1 361-310-3659,https://www.instagram.com/lockerroomhou/?hl=en,soniaalam@instagram.com,accept_all,hunter_search,94,4.2,800,google_places_enriched,texas_live_zone
The Cellar Bar,sports_bar,"3140 Richmond Ave, Houston, TX 77098, USA",Houston,USA,+1 713-528-6435,http://thecellarbar.org/,info@thecellarbar.org,valid,hunter_search,99,4.6,813,google_places_enriched,texas_live_zone
Little Woodrow's Bellaire,sports_bar,"4235 Bellaire Blvd, Houston, TX 77025, USA",Houston,USA,+1 713-661-5282,https://littlewoodrows.com/locations/bellaire/,brandon@littlewoodrows.com,valid,hunter_search,99,4.3,473,google_places_enriched,texas_live_zone
Tipsy Tavern,sports_bar,"10400 S Post Oak Rd Unit E, Houston, TX 77035, USA",Houston,USA,+1 713-485-6357,https://www.tipsytaverntx.com/,info@tipsytaverntx.com,valid,hunter_search,10,4.6,66,google_places_enriched,texas_live_zone
El Tiempo Cantina,sports_bar,"2360 S Loop W, Houston, TX 77054, USA",Houston,USA,+1 713-955-3868,https://www.eltiempocantina.com/,info@eltiempocantina.com,valid,hunter_search,96,4.5,109,google_places_enriched,texas_live_zone
The Toasted Coconut,sports_bar,"1617 Richmond Ave, Houston, TX 77006, USA",Houston,USA,+1 713-485-4775,http://gettoastedhtx.com/,events@gettoastedhtx.com,valid,scraped_website,100,4.5,1069,google_places_enriched,texas_live_zone
Southern Yankee Crafthouse,sports_bar,"1312 W Alabama St, Houston, TX 77006, USA",Houston,USA,+1 346-320-2806,https://www.crafthousehtx.com/,info@crafthousehtx.com,valid,scraped_website,100,4.7,914,google_places_enriched,texas_live_zone
Hugh O’Connors,sports_bar,"5010 Dincans St, Houston, TX 77005, USA",Houston,USA,,https://hughoconnors.com/,info@hughoconnors.com,valid,hunter_search,99,4.8,52,google_places_enriched,texas_live_zone
Valhalla,sports_bar,"6100 Main St, Houston, TX 77005, USA",Houston,USA,+1 713-348-3258,http://valhalla.rice.edu/,sarah.guo@rice.edu,valid,hunter_search,99,3.6,741,google_places_enriched,texas_live_zone
The Naturalist Bar & Lounge,sports_bar,"6750 Main St, Houston, TX 77030, USA",Houston,USA,+1 281-644-9441,https://www.ihg.com/intercontinental/hotels/us/en/houston/houit/hoteldetail/dining,anthony.torres@ihg.com,valid,hunter_search,99,4.8,17,google_places_enriched,texas_live_zone
Ducky McShweeney’s Pub,sports_bar,"2025 Post Oak Blvd Suite B, Houston, TX 77056, USA",Houston,USA,+1 346-701-8147,http://duckymcshweeneyspub.com/,info@duckymcshweeneyspub.com,valid,scraped_website,100,4.4,643,google_places_enriched,texas_live_zone
McGonigel's Mucky Duck,sports_bar,"2425 Norfolk St, Houston, TX 77098, USA",Houston,USA,+1 713-528-5999,https://www.mcgonigels.com/,theduck@mcgonigels.com,valid,scraped_website,100,4.7,1093,google_places_enriched,texas_live_zone
Hugh O'Connors,sports_bar,"7620 Katy Fwy #350, Houston, TX 77024, USA",Houston,USA,+1 832-430-4961,https://hughoconnors.com/,info@hughoconnors.com,valid,hunter_search,99,4.7,822,google_places_enriched,texas_live_zone
Main & Green,sports_bar,"6580 Fannin St, Houston, TX 77030, USA",Houston,USA,+1 713-770-8070,https://www.marriott.com/en-us/hotels/houmc-houston-marriott-medical-center-museum-district/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,rosa.azuara@marriott.com,accept_all,hunter_search,94,4.1,8,google_places_enriched,texas_live_zone
La Colombe d'Or hotel,hotel_bar,"3410 Montrose Blvd, Houston, TX 77006, USA",Houston,USA,+1 713-524-7999,https://www.lacolombedor.com/,info@lacolombedor.com,valid,scraped_website,90,4.6,268,google_places_enriched,arlington_hotels_zone
Rotary House Hotel,hotel,"1600 Holcombe Blvd, Houston, TX 77030, USA",Houston,USA,+1 713-790-1600,https://www.mdanderson.org/patients-family/becoming-our-patient/getting-to-md-anderson/traveling-to-houston/rotary-house-international.html,jvanterpool@mdanderson.org,accept_all,hunter_search,94,4.7,1299,google_places_enriched,arlington_hotels_zone
Hotel Granduca,hotel_bar,"1080 Uptown Park Blvd, Houston, TX 77056, USA",Houston,USA,+1 713-418-1000,https://www.granducahouston.com/,sales@granducahouston.com,valid,scraped_website,100,4.5,760,google_places_enriched,arlington_hotels_zone
Houston Towers Inn,hotel,"2309 Wichita St, Houston, TX 77004, USA",Houston,USA,+1 713-900-7007,http://www.houstontowers.com/,stay@houstontowers.com,accept_all,scraped_website,82,4.3,127,google_places_enriched,arlington_hotels_zone
Home Place Inn Medical Center,hotel,"10000 S Main St, Houston, TX 77025, USA",Houston,USA,+1 713-239-2818,http://www.homeplaceinnmedicalcenter.com/,stay@homeplaceinnmedicalcenter.com,accept_all,scraped_website,81,4.2,204,google_places_enriched,arlington_hotels_zone
The Moran Hotel CITYCENTRE,hotel,"800 Sorella Ct, Houston, TX 77024, USA",Houston,USA,+1 713-973-1600,https://themoranhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,christian.cardenas@themoranhotel.com,valid,hunter_search,99,4.4,1844,google_places_enriched,las_colinas_zone
Hotel ZaZa Houston Memorial City,hotel,"9787 Katy Fwy, Houston, TX 77024, USA",Houston,USA,+1 713-465-9292,https://www.hotelzaza.com/houston-memorial-city?utm_campaign=Google%20My%20Business&utm_source=google&utm_medium=Local%20Search,akhan@hotelzaza.com,valid,hunter_search,99,4.5,1240,google_places_enriched,las_colinas_zone
The Lancaster Hotel,hotel,"701 Texas Ave, Houston, TX 77002, USA",Houston,USA,+1 713-228-9500,https://thelancaster.com/,concierge@thelancaster.com,valid,scraped_website,100,4.7,973,google_places_enriched,las_colinas_zone
