Name,Business_Type,Address,City,Country,Phone,Website,Email,Email_Status,Email_Source,Email_Confidence,Google_Rating,Review_Count,Source,Zone
Lot District Beer Hall,sports_bar,"2534 Madison Ave, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-701-7247,https://www.boulevard.com/visit-us/,r.newcomer@boulevard.com,valid,hunter_search,99,4.3,1385,seeded_real,texas_live_zone
Rally House Taproom,sports_bar,"18701 East 39th St S, Independence, MO 64057, USA",Kansas City,USA,+1 816-399-0023,https://www.rallyhouse.com/stores/independence/18701-east-39th-street-south?utm_source=gbp&utm_medium=organic,mpeyton@rallyhouse.com,valid,hunter_search,99,4.5,700,seeded_real,texas_live_zone
Whistle Stop Kitchen,restaurant,"227 SE Main St, Lee's Summit, MO 64063, USA",Kansas City,USA,+1 816-525-4545,http://www.whistlestopcoffee.com/,vicki@whistlestopcoffee.com,valid,hunter_search,95,4.2,812,seeded_real,texas_live_zone
Drury Stadium Suites,hotel,"1000 Knipp St, Columbia, MO 65203, USA",Kansas City,USA,+1 573-445-1800,https://www.druryhotels.com/locations/Columbia-MO/Drury-Inn-and-Suites-Columbia-Stadium-Boulevard?utm_campaign=gmb&utm_medium=organic&utm_source=local2,kate.scheer@druryhotels.com,valid,hunter_search,99,4.5,980,seeded_real,arlington_hotels_zone
No Other Pub,sports_bar,"Located in the, 1370 Grand Blvd, Kansas City, MO 64106, USA",Kansas City,USA,+1 816-541-2300,http://www.powerandlightdistrict.com/eat-and-drink/no-other-pub,events@powerandlightdistrict.com,accept_all,hunter_search,79,4.4,1005,seeded_real,downtown_zone
Parlor KC,sports_bar,"1707 Locust St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-875-4813,http://www.parlorkcmo.com/,info@parlorkcmo.com,valid,hunter_search,83,4.5,2522,seeded_real,downtown_zone
Lifted Spirits,cocktail_bar,"1734 Cherry St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-866-1734,http://www.liftedspiritskc.com/?utm_source=Google&utm_medium=Maps&utm_campaign=Google%20Maps,info@liftedspiritskc.com,valid,hunter_search,95,4.5,430,seeded_real,uptown_zone
Westport Ale House,sports_bar,"4128 Broadway Blvd, Kansas City, MO 64111, USA",Kansas City,USA,+1 816-756-5277,https://westportalehouse.com/,info@westportalehouse.com,valid,hunter_search,99,4.3,854,seeded_real,deep_ellum_zone
Pegah's Family Diner,restaurant,"410 Rte 291, Lee's Summit, MO 64063, USA",Kansas City,USA,+1 816-600-2034,http://pegahs.com/,rameen@pegahs.com,valid,hunter_search,99,4.3,366,seeded_real,local_zone
Tanner's Independence,sports_bar,"18001 E US Hwy 24, Independence, MO 64056, USA",Kansas City,USA,+1 816-796-0880,http://cosentinos.com/,loud@cosentinos.com,valid,hunter_search,99,4.1,910,seeded_real,local_zone
The Fontaine,hotel,"901 W 48th Pl, Kansas City, MO 64112, USA",Kansas City,USA,+1 816-753-8800,https://www.thefontainehotel.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,info@thefontainehotel.com,valid,hunter_search,95,4.5,1971,seeded_real,las_colinas_zone
Crossroads Hotel KC,hotel,"2101 Central St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-897-8100,https://crossroadshotelkc.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,sales@crossroadshotelkc.com,valid,hunter_search,77,4.5,1082,seeded_real,downtown_zone
Union Station Lobby Bar,hotel_bar,"1820 Market St, St. Louis, MO 63103, USA",Kansas City,USA,+1 314-621-5262,https://www.stlouisunionstation.com/grand-hall,info@stlouisunionstation.com,accept_all,hunter_search,94,4.3,300,seeded_real,downtown_zone
Brooksider Sportsbar & Grill,sports_bar,"6330 Brookside Plaza, Kansas City, MO 64113, USA",Kansas City,USA,+1 816-363-4070,https://brooksider.com/,events@brooksider.com,valid,scraped_website,100,4.3,654,google_places_enriched,texas_live_zone
No Other Pub by Sporting KC,sports_bar,"Located in the, 1370 Grand Blvd, Kansas City, MO 64106, USA",Kansas City,USA,+1 816-541-2300,http://www.powerandlightdistrict.com/eat-and-drink/no-other-pub,events@powerandlightdistrict.com,accept_all,hunter_search,79,4.3,1005,google_places_enriched,texas_live_zone
Amerisports Brew Pub,sports_bar,"3200 North Ameristar Drive, Kansas City, MO 64161, USA",Kansas City,USA,+1 816-414-7171,https://ameristarkansascity.boydgaming.com/dine/amerisports-brew-pub,lisawamsley@boydgaming.com,accept_all,hunter_search,94,4.1,590,google_places_enriched,texas_live_zone
Brick House KC,sports_bar,"400 E 31st St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-255-3912,http://www.brickhousekc.com/,jimmy@brickhousekc.com,accept_all,scraped_website,78,4.3,1920,google_places_enriched,texas_live_zone
KC Pickle Club,sports_bar,"9119 E 39th St, Kansas City, MO 64133, USA",Kansas City,USA,+1 816-381-2400,https://www.kcpickleclub.com/,hello@kcpickleclub.com,valid,scraped_website,100,4.7,49,google_places_enriched,texas_live_zone
Taps on Main,sports_bar,"1715 Main St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-291-4502,https://www.tapsonmain.com/,gtower@tapsonmain.com,valid,hunter_search,60,4.4,1198,google_places_enriched,texas_live_zone
Streetcar Grille & Tavern,sports_bar,"1580 Main St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-216-6187,http://www.streetcargrille.com/,jhudson@streetcargrille.com,valid,scraped_website,100,4.3,1379,google_places_enriched,texas_live_zone
DoubleTap KC,sports_bar,"310 Oak St, Kansas City, MO 64106, USA",Kansas City,USA,+1 816-800-4001,https://www.doubletapkc.com/,terry@doubletapkc.com,valid,hunter_search,99,4.7,749,google_places_enriched,texas_live_zone
Gates Bar-B-Q,sports_bar,"10440 E US Hwy 40, Independence, MO 64055, USA",Kansas City,USA,+1 816-353-5880,https://gatesbbq.com/?y_source=1_Mzg3Mjk4NjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,sales@gatesbbq.com,valid,hunter_search,99,4,3824,google_places_enriched,texas_live_zone
Oak & Steel,sports_bar,"120 W 17 St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-610-8955,https://oakandsteelkc.com/,kyle@oakandsteelkc.com,valid,scraped_website,100,4.7,255,google_places_enriched,texas_live_zone
Tavern 24,sports_bar,"825 N Dakota Dr 24 HWY, Independence, MO 64056, USA",Kansas City,USA,+1 816-683-2824,http://tavern24.com/,info@tavern24.com,accept_all,hunter_search,76,4,989,google_places_enriched,texas_live_zone
The Dub KC,sports_bar,"105 W 9th St, Kansas City, MO 64105, USA",Kansas City,USA,+1 816-319-8809,http://www.thedubkc.com/,hello@thedubkc.com,valid,scraped_website,100,5,59,google_places_enriched,texas_live_zone
Johnny’s Tavern P&L,sports_bar,"1310 Grand Blvd, Kansas City, MO 64106, USA",Kansas City,USA,+1 816-268-2260,http://www.johnnystavern.com/,samantha.p@johnnystavern.com,valid,hunter_search,99,4.1,1426,google_places_enriched,texas_live_zone
Arrow Dart & Sports Club,sports_bar,"1817 Locust St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-200-1817,http://www.arrowdartclub.com/,info@arrowdartclub.com,valid,scraped_website,91,4.4,48,google_places_enriched,texas_live_zone
Stoney Creek Hotel Kansas City - Independence,hotel_bar,"18011 Bass Pro Dr, Independence, MO 64055, USA",Kansas City,USA,+1 816-908-9600,https://www.stoneycreekhotels.com/hotel/kansas-city?utm_source=GMB&utm_medium=link&utm_campaign=GMB_tracking&utm_id=IND,angela.harding@stoneycreekhotels.com,valid,hunter_search,94,4.5,2285,google_places_enriched,arlington_hotels_zone
Harrah's Kansas City - A Caesars Rewards Destination,hotel,"1 Riverboat Dr, North Kansas City, MO 64116, USA",Kansas City,USA,+1 816-472-7777,https://www.caesars.com/harrahs-kansas-city?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NKC&utm_content=casino&y_source=1_NDM2NjgwNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,stat@caesars.com,accept_all,hunter_search,94,3.9,13167,google_places_enriched,arlington_hotels_zone
The Truitt,hotel,"4320 Oak St, Kansas City, MO 64111, USA",Kansas City,USA,+1 816-325-3510,http://www.thetruitt.com/,ryan@thetruitt.com,valid,scraped_website,100,4.9,541,google_places_enriched,las_colinas_zone
Aida Hotel,hotel,"206 E 44th St, Kansas City, MO 64111, USA",Kansas City,USA,+1 816-325-3510,https://www.aidakc.com/,ryan@aidakc.com,valid,scraped_website,100,4.9,284,google_places_enriched,las_colinas_zone
Cherry Warehouse Hotel,hotel,"2936 Cherry St, Kansas City, MO 64108, USA",Kansas City,USA,+1 816-325-3510,http://www.thecherrykc.com/,ryan@thecherrykc.com,valid,hunter_search,94,4.9,173,google_places_enriched,las_colinas_zone
