Name,Business_Type,Address,City,Country,Phone,Website,Email,Email_Status,Email_Source,Email_Confidence,Google_Rating,Review_Count,Source,Zone
Lobby Norte,hotel_bar,"Ave. Universidad Norte # 101. Col. Anáhuac, El Roble, 66450 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 8158 0000,https://www.ihg.com/holidayinn/hotels/us/en/monterrey/mtymx/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-MX-_-MTYMX,anthony.torres@ihg.com,valid,hunter_search,99,4.1,2973,seeded_real,arlington_hotels_zone
Pabellon M Match Hall,sports_bar,"Edificio ocampo, Constitución S/N, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 2090 8800,http://www.pabellonm.com/,contacto@pabellonm.com,valid,hunter_search,79,4.4,15419,seeded_real,downtown_zone
SAFI Metropolitan,hotel,"Av Lázaro Cárdenas 2400, Valle Oriente, 66260 San Pedro Garza García, N.L., Mexico",Monterrey,Mexico,+52 81 8100 7080,https://safihotel.com/safi-monterrey-metropolitan/,eventos@safihotel.com,valid,hunter_search,99,4.5,1626,seeded_real,downtown_zone
Almacen 42,cocktail_bar,"José María Morelos 852, Barrio Antiguo, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 2418 9460,http://www.almacen42.com/,mario@almacen42.com,valid,hunter_search,84,4.3,3317,seeded_real,deep_ellum_zone
Camino Real Monterrey,hotel,"Lázaro Cárdenas 1002 Col Delegación Valle Oriente San Pedro Garza García, Zona San Agustín, 66260 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 1223 3200,https://www.caminoreal.com/caminoreal/camino-real-fashion-drive-monterrey,emilio.pena@caminoreal.com,valid,hunter_search,99,4.5,1725,seeded_real,downtown_zone
The Old Mike,sports_bar,"Av. las Americas 620-local 8, Riberas del Contry, 67170 Guadalupe, N.L., Mexico",Monterrey,Mexico,+52 81 2343 3462,https://www.instagram.com/the.oldmike/,soniaalam@instagram.com,accept_all,hunter_search,94,4.4,147,google_places_enriched,texas_live_zone
Zitla Y Zicatela Restaurante Bar,sports_bar,"Av. Pablo Livas 2500-Local 28, La Silla, 64700 Guadalupe, N.L., Mexico",Monterrey,Mexico,+52 81 8398 6227,https://instagram.com/zitlayzicatela?igshid=MDM4ZDc5MmU=,soniaalam@instagram.com,accept_all,hunter_search,94,4.2,983,google_places_enriched,texas_live_zone
El Guayabo,sports_bar,"Industrias del Ote. 4105, Villa Española, 67118 Guadalupe, N.L., Mexico",Monterrey,Mexico,+52 81 8364 7645,http://linktr.ee/elguayabomty,tim@linktr.ee,valid,hunter_search,94,4.6,2078,google_places_enriched,texas_live_zone
La Divina Linda Vista,sports_bar,"Av. Miguel Alemán 4443, Linda Vista, 67123 Guadalupe, N.L., Mexico",Monterrey,Mexico,+52 81 8334 8044,http://www.instagram.com/ladivinamty/,soniaalam@instagram.com,accept_all,hunter_search,94,4.6,1095,google_places_enriched,texas_live_zone
El Lugar de Max,sports_bar,"Gral. Plutarco Elías Calles 226, Azteca, 67150 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 8337 2665,https://www.lugardemax.com/,facturacion@lugardemax.com,accept_all,scraped_website,81,4.6,9024,google_places_enriched,texas_live_zone
Hotel Privada Guadalupe,hotel,"C. Washington 1057, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 8343 0741,http://www.privadaguadalupe.com.mx/,contacto@privadaguadalupe.com.mx,valid,scraped_website,100,4.1,534,google_places_enriched,arlington_hotels_zone
Hotel Ecovergel Santa Lucía,hotel,"Ignacio Allende 920, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 2028 2060,http://www.ecovergel.com/,gerenciabarrio@ecovergel.com,valid,hunter_search,10,4.2,88,google_places_enriched,arlington_hotels_zone
Hoteles Antigua - Casona Allende,hotel,"Ignacio Allende 1113, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 3038 3233,https://hotelesantigua.mx/,ar@hotelesantigua.mx,valid,scraped_website,89,4.8,191,google_places_enriched,arlington_hotels_zone
Hoteles Antigua - Santa Lucía MTY,hotel,"Nicolás Martínez 610, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 3038 3233,https://hotelesantigua.mx/,ar@hotelesantigua.mx,valid,scraped_website,89,4.7,193,google_places_enriched,arlington_hotels_zone
Hotel Centria,hotel,"Miguel Hidalgo y Costilla Lote Oriente 319, Centro, 64000 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 1091 0144,https://www.hotelcentria.mx/,reservaciones@hotelcentria.mx,valid,scraped_website,89,4.7,182,google_places_enriched,arlington_hotels_zone
Hotel Sttiny Monterrey Tecnológico,hotel,"Alejandría 202, Roma, Distrito Tec, 64700 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 8031 8016,https://www.directoriodigital.org/empresa/hotel-sttiny,hola@directoriodigital.org,valid,scraped_website,100,4.6,79,google_places_enriched,arlington_hotels_zone
Hotel White,hotel,"Camelia 445, Moderna, 64530 Monterrey, N.L., Mexico",Monterrey,Mexico,+52 81 8372 2025,https://www.directoriodigital.org/empresa/hotel-white/,hola@directoriodigital.org,valid,scraped_website,100,4.4,420,google_places_enriched,arlington_hotels_zone
Quinta Real,hotel,"Av. Diego Rivera 500, Valle Oriente, 66260 San Pedro Garza García, N.L., Mexico",Monterrey,Mexico,+52 81 8368 1000,https://www.grupocaminoreal.com/quinta-real-monterrey,contacto@caminoreal.com,valid,scraped_website,100,4.7,2568,google_places_enriched,las_colinas_zone
AMAE21,hotel,"Río Salinas 218, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",Monterrey,Mexico,+52 81 2509 9746,http://www.amae21.com/,paola@amae21.com,valid,scraped_website,90,4.4,42,google_places_enriched,las_colinas_zone
